Employee_ID,Age,Department,Education_Level,Years_of_Experience,Salary
E1066,28,Marketing,Bachelor's,2.8,46664.31
E1067,37,Finance,Master's,16.0,105148.14
E1068,26,Sales,Master's,1.5,32605.02
E1069,45,Sales,Master's,19.7,115849.09
E1070,39,Sales,Bachelor's,15.4,103036.47
E1071,25,Sales,Master's,4.0,51051.85
E1072,24,Sales,Bachelor's,0.1,30345.49
E1073,37,Sales,Master's,16.3,103936.64
E1074,36,Sales,Bachelor's,14.1,99838.32
E1075,36,Finance,Bachelor's,14.6,92742.14
E1076,39,IT,Master's,15.4,102035.49
E1077,26,HR,Bachelor's,1.5,35739.04
E1078,28,Marketing,Bachelor's,7.2,61311.59
E1079,23,HR,Master's,2.3,45843.88
E1080,40,HR,Master's,17.3,111977.08
E1081,38,IT,Master's,12.5,90317.55
E1082,29,IT,Master's,6.6,66227.39
E1083,25,IT,Bachelor's,1.3,35955.02
E1084,28,Sales,Bachelor's,6.2,61309.76
E1085,32,Finance,Bachelor's,6.5,57698.67
E1086,36,Sales,Bachelor's,14.6,97320.83
E1087,34,Finance,PhD,12.8,86949.28
E1088,43,Finance,Master's,17.7,110134.98
E1089,30,HR,Bachelor's,9.4,75275.79
E1090,23,HR,Bachelor's,2.4,36708.9
E1091,35,Finance,PhD,14.3,104811.94
E1092,39,Finance,Bachelor's,15.2,93369.91
E1093,35,Sales,Master's,11.2,74329.06
E1094,38,Sales,Bachelor's,15.4,105090.55
E1095,32,HR,Master's,9.9,78508.31
E1096,36,IT,Bachelor's,10.5,80370.6
E1097,34,Finance,Master's,8.6,71841.73
E1098,26,Sales,PhD,0.5,32188.77
E1099,25,HR,Master's,2.2,35413.73
E1100,25,Sales,Master's,0.6,33079.02
E1101,36,Finance,PhD,12.7,83764.19
E1102,31,Finance,Master's,6.3,63225.6
E1103,32,Marketing,Bachelor's,10.2,75164.71
E1104,39,IT,Master's,18.2,107772.51
E1105,29,Marketing,Master's,5.0,50893.07
E1106,32,HR,Bachelor's,8.2,68964.66
E1107,38,Sales,Master's,15.1,95131.38
E1108,29,HR,PhD,4.6,46588.9
E1109,26,Finance,PhD,1.5,37968.44
E1110,31,Marketing,Bachelor's,5.8,57324.83
E1111,26,Marketing,Bachelor's,3.2,41865.28
E1112,44,Marketing,PhD,18.6,111344.81
E1113,38,HR,Master's,16.2,104060.25
E1114,36,Finance,Bachelor's,12.7,79909.58
E1115,39,Sales,PhD,17.4,101262.68
E1116,37,Sales,Master's,16.1,98857.78
E1117,26,HR,Bachelor's,3.7,45582.76
E1118,39,Marketing,Master's,17.9,112104.54
E1119,32,IT,Bachelor's,10.8,85976.78
E1120,38,HR,Bachelor's,16.1,106738.3
E1121,41,HR,Bachelor's,17.9,109750.31
E1122,31,Finance,Master's,6.4,58704.92
E1123,27,Sales,Bachelor's,2.2,34887.35
E1124,26,HR,Bachelor's,4.6,50607.43
E1125,30,HR,Bachelor's,8.5,66806.71
E1126,39,Marketing,Bachelor's,16.4,105413.59
E1127,41,Marketing,PhD,17.2,103263.85
E1128,22,IT,Bachelor's,0.1,33046.73
E1129,31,Finance,Bachelor's,10.2,83563.69
E1130,33,IT,Master's,8.3,66806.2
E1131,27,Marketing,Bachelor's,4.4,51808.56
E1132,24,Sales,Bachelor's,2.4,44250.72
E1133,30,Marketing,Bachelor's,6.8,58593.9
E1134,41,Finance,Bachelor's,18.9,116170.46
E1135,28,Marketing,Bachelor's,6.5,59312.96
E1136,31,Finance,Bachelor's,10.4,77288.38
E1137,37,Finance,Bachelor's,14.1,89584.95
E1138,30,Finance,PhD,7.3,62972.55
E1139,44,Finance,Bachelor's,19.4,119789.99
E1140,44,Finance,Master's,19.2,123655.72
E1141,26,Sales,Master's,5.0,57296.35
E1142,31,IT,Bachelor's,9.9,85315.91
E1143,30,HR,Master's,6.0,53163.26
E1144,31,IT,Bachelor's,5.7,60011.6
E1145,23,Finance,PhD,0.7,34066.71
E1146,35,Sales,Bachelor's,12.2,95849.01
E1147,31,Marketing,Bachelor's,10.1,71408.51
E1148,24,Sales,Bachelor's,1.0,30301.39
E1149,29,Finance,PhD,5.6,52203.04
E1150,42,Sales,Bachelor's,18.2,101280.52
E1151,30,Sales,Master's,4.8,48971.22
E1152,24,Finance,Bachelor's,2.9,39254.34
E1153,33,Sales,Master's,9.8,74851.97
E1154,41,HR,Bachelor's,19.7,120358.78
E1155,27,HR,Master's,4.8,60980.85
E1156,37,Sales,Bachelor's,13.4,95052.12
E1157,37,Marketing,Bachelor's,15.2,95515.48
E1158,26,Finance,Bachelor's,4.8,47107.93
E1159,36,HR,Bachelor's,14.6,98159.6
E1160,32,Marketing,Master's,7.4,56698.83
E1161,36,Sales,Bachelor's,12.6,95857.29
E1162,36,Marketing,Master's,12.7,93047.2
E1163,33,IT,Bachelor's,10.7,75804.12
E1164,26,HR,Bachelor's,1.8,29534.33
E1165,40,Sales,Bachelor's,16.7,111919.36
E1166,31,Finance,Bachelor's,6.4,58227.3
E1167,26,Sales,Master's,3.7,52839.08
E1168,23,Finance,Bachelor's,0.8,25627.86
E1169,37,Sales,Bachelor's,11.8,80103.12
E1170,38,Marketing,Master's,13.6,91226.22
E1171,25,Marketing,PhD,0.3,31584.9
E1172,34,Marketing,Bachelor's,10.2,73649.67
E1173,30,IT,Bachelor's,4.5,53364.25
E1174,38,Finance,Master's,12.9,82711.9
E1175,24,Marketing,Bachelor's,3.5,45038.1
E1176,36,IT,Bachelor's,13.8,92701.48
E1177,33,Finance,Bachelor's,7.7,67222.19
E1178,44,Sales,Master's,18.7,117708.07
E1179,26,IT,Master's,2.8,36976.79
E1180,29,HR,Bachelor's,6.8,52929.43
E1181,25,IT,Bachelor's,2.3,46738.38
E1182,40,IT,Bachelor's,18.5,114911.57
E1183,40,Finance,Master's,17.5,105007.57
E1184,30,Sales,Bachelor's,5.2,61155.76
E1185,38,HR,Bachelor's,13.2,89978.37
E1186,37,Marketing,Master's,16.3,109246.49
E1187,34,Marketing,Bachelor's,11.1,80287.59
E1188,35,IT,Master's,10.6,88003.74
E1189,26,Finance,Bachelor's,4.8,60376.7
E1190,25,Finance,Bachelor's,1.9,37305.18
E1191,41,Marketing,Bachelor's,17.9,115407.85
E1192,39,HR,Master's,18.0,114226.88
E1193,38,Sales,Master's,12.7,93993.16
E1194,30,HR,Master's,6.8,55775.38
E1195,32,Sales,Bachelor's,7.0,64930.26
E1196,36,Marketing,Master's,14.5,100542.12
E1197,43,Sales,Bachelor's,17.9,101756.3
E1198,40,Finance,Bachelor's,17.7,103733.71
E1199,40,IT,Master's,15.6,90003.84
E1200,36,IT,Bachelor's,12.8,86252.97
E1201,26,Marketing,Bachelor's,1.7,41237.71
E1202,28,Finance,Bachelor's,3.2,51911.79
E1203,41,HR,Bachelor's,18.0,111370.47
E1204,37,Finance,Bachelor's,12.1,92593.08
E1205,22,IT,Master's,0.2,23999.49
E1206,23,IT,Bachelor's,2.0,30483.09
E1207,36,Finance,Master's,13.3,89572.26
E1208,22,Finance,Master's,0.1,32370.33
E1209,25,IT,Bachelor's,3.2,44236.53
E1210,34,HR,Bachelor's,11.0,69162.79
E1211,39,Marketing,Bachelor's,13.8,91654.4
E1212,35,Marketing,Master's,13.0,81977.65
E1213,28,Finance,Bachelor's,4.5,53598.36
E1214,36,Marketing,Master's,14.2,95732.99
E1215,30,IT,Bachelor's,4.7,46450.6
E1216,32,IT,Master's,6.5,56680.67
E1217,39,Finance,Bachelor's,14.9,91753.93
E1218,35,Finance,Bachelor's,13.0,88186.6
E1219,42,Finance,PhD,17.0,111275.71
E1220,36,HR,Master's,13.2,84471.37
E1221,32,Marketing,Bachelor's,11.4,83820.23
E1222,23,Finance,Master's,1.9,35898.71
E1223,28,Sales,Bachelor's,7.4,59335.64
E1224,27,Sales,Master's,5.3,53314.85
E1225,29,IT,Master's,4.9,46873.79
E1226,44,Marketing,Bachelor's,19.5,114981.75
E1227,31,Finance,Bachelor's,7.9,59560.61
E1228,41,Sales,Bachelor's,17.8,119923.63
E1229,35,Marketing,Bachelor's,12.6,86876.32
E1230,37,IT,Master's,15.9,98051.37
E1231,32,HR,Bachelor's,10.1,76519.9
E1232,36,Marketing,Bachelor's,11.5,81188.36
E1233,34,Marketing,Master's,9.9,73445.15
E1234,29,HR,PhD,3.9,50620.83
E1235,39,Marketing,Bachelor's,14.4,98587.54
E1236,30,IT,Bachelor's,5.6,52547.49
E1237,24,IT,Bachelor's,0.5,29370.91
E1238,37,HR,Bachelor's,12.9,86674.74
E1239,26,Finance,PhD,3.5,34240.39
E1240,43,Sales,Bachelor's,18.8,107024.04
E1241,42,Finance,Master's,19.1,122784.37
E1242,39,Marketing,Bachelor's,18.3,120574.84
E1243,31,Sales,Master's,7.4,62054.82
E1244,21,HR,Master's,0.3,34232.78
E1245,41,HR,Master's,18.6,115256.25
E1246,30,Sales,Bachelor's,8.6,84094.4
E1247,41,IT,Bachelor's,19.3,122447.87
E1248,42,Sales,Bachelor's,19.3,116210.41
E1249,39,Marketing,PhD,17.1,102172.3
E1250,28,IT,Master's,5.9,48517.77
E1251,33,HR,Master's,7.7,65667.32
E1252,41,Sales,Master's,17.0,102718.25
E1253,30,Finance,Master's,6.3,51238.73
E1254,26,Finance,Bachelor's,3.4,42067.14
E1255,34,Marketing,PhD,11.1,74542.26
E1256,43,Finance,Bachelor's,18.7,122585.71
E1257,39,Sales,Bachelor's,13.9,96958.2
E1258,35,Sales,Bachelor's,11.4,81260.14
E1259,27,Finance,Bachelor's,1.9,45949.72
E1260,35,Sales,Bachelor's,12.3,85736.84
E1261,41,Marketing,Master's,19.8,114793.58
E1262,26,IT,Bachelor's,2.8,50215.62
E1263,33,Marketing,Master's,10.4,79494.55
E1264,40,Marketing,Bachelor's,17.5,103563.77
E1265,37,Sales,Bachelor's,14.8,95648.31
E1266,36,IT,Bachelor's,13.9,88171.91
E1267,36,Sales,Bachelor's,14.0,86086.0
E1268,32,HR,Master's,7.2,67030.89
E1269,30,Sales,Bachelor's,5.9,66097.08
E1270,37,Sales,Master's,16.2,95907.16
E1271,39,Sales,Bachelor's,16.2,105714.85
E1272,42,IT,Master's,17.3,104596.79
E1273,39,Sales,PhD,18.3,109914.37
E1274,35,IT,Master's,10.2,72938.03
E1275,35,Finance,Bachelor's,10.0,70680.05
E1276,39,HR,Bachelor's,16.0,102242.61
E1277,37,IT,Bachelor's,13.0,84345.25
E1278,36,Finance,Master's,14.0,94352.28
E1279,40,IT,Bachelor's,15.9,101298.81
E1280,41,IT,Bachelor's,17.8,108905.26
E1281,30,HR,Master's,6.8,56062.18
E1282,30,Marketing,Bachelor's,7.5,60866.14
E1283,23,Marketing,Master's,1.9,42326.96
E1284,36,IT,Bachelor's,11.6,84704.59
E1285,25,Sales,Bachelor's,0.7,28262.22
E1286,34,Finance,Master's,9.3,72346.66
E1287,36,Sales,Bachelor's,10.9,82806.94
E1288,31,Sales,Master's,5.7,47302.97
E1289,35,IT,Bachelor's,11.8,85816.8
E1290,25,IT,Bachelor's,0.6,29386.88
E1291,24,IT,Master's,0.7,36002.99
E1292,38,IT,Master's,16.5,100433.7
E1293,32,Marketing,Master's,7.2,53375.59
E1294,26,IT,Bachelor's,2.5,33112.29
E1295,33,Marketing,Master's,10.4,77040.42
E1296,36,Marketing,Bachelor's,15.4,100598.61
E1297,26,IT,Bachelor's,4.3,44828.42
E1298,36,HR,PhD,12.5,89442.96
E1299,24,Finance,Bachelor's,1.7,29342.4
