Area_SqFt,Bedrooms,Bathrooms,Age_Years,Location_Rating,Garage_Cars,Price_USD
1967,1,2,26,9,1,470299
1752,1,2,20,7,1,629457
2627,5,4,19,2,2,363166
3295,3,4,27,6,2,126543
2095,4,2,25,9,1,693056
3734,3,4,23,7,1,266782
1762,5,2,29,2,0,460419
2122,1,3,15,3,2,694518
3240,5,1,3,8,0,410663
991,2,4,10,9,1,115639
2298,2,1,15,4,1,624973
1018,4,2,16,9,1,277501
2936,5,2,17,2,1,483133
978,4,2,19,5,0,80704
2396,4,1,11,2,1,511737
4161,2,2,5,1,2,369527
2878,4,4,5,5,1,263814
3665,2,3,14,2,2,84307
2688,1,3,26,7,1,160924
3699,5,4,8,8,0,472136
2782,4,3,5,2,2,102928
800,2,1,7,7,0,542216
2463,3,2,16,4,1,556837
1379,4,2,14,1,0,447855
3577,1,2,4,3,1,737798
3704,1,1,17,1,0,604297
3719,3,1,6,5,0,166172
1102,2,1,16,8,2,539895
3054,4,4,29,1,1,320226
4245,2,1,10,9,0,311505
2351,1,3,29,3,1,335840
1404,2,4,14,5,2,450877
2746,1,4,4,9,0,67564
3331,2,4,13,5,1,587925
2495,3,1,18,9,0,733150
3373,5,4,33,8,0,153695
2170,3,1,21,7,0,290953
1560,3,1,16,1,0,278371
4410,5,4,15,4,2,334712
3260,5,2,5,9,2,677827
2085,4,2,6,8,1,320515
3290,4,4,3,4,1,392991
4440,3,2,12,1,0,625884
1628,3,3,33,4,0,601479
3889,1,3,33,3,0,701371
1102,1,1,31,6,2,716775
3414,4,2,21,5,0,100276
997,4,3,27,5,1,107650
1470,1,4,27,2,0,124427
3442,1,2,8,3,2,668657
992,2,3,32,6,0,730766
806,2,3,26,2,2,154957
1638,1,4,2,4,2,292872
2481,2,1,12,2,2,399460
4225,5,4,22,9,2,624159
3539,4,1,17,3,1,334365
2084,4,3,7,6,2,605404
4362,1,1,4,1,1,296871
4246,3,3,32,3,1,101474
1463,1,3,11,8,0,278091
3390,2,2,1,5,0,624388
3912,3,1,25,8,2,177982
1163,2,1,24,2,0,308668
1620,5,1,17,7,2,327560
695,2,4,8,9,0,75251
2523,5,2,27,7,2,480290
2357,5,2,18,3,0,510900
3132,2,2,27,7,0,319463
4078,2,4,22,8,1,577656
2878,5,1,16,1,0,376966
3396,3,1,2,3,0,259076
2278,5,1,5,5,2,103655
3842,4,2,18,6,1,149091
1140,5,2,3,3,2,203016
1659,3,3,27,4,0,322459
3172,4,4,17,5,2,270741
1783,1,4,16,3,1,227829
2322,1,2,6,4,2,158834
3914,3,3,7,5,0,477484
3757,5,1,14,2,2,693186
2419,2,2,15,9,0,373155
3225,3,4,33,8,1,523509
3329,4,4,27,6,1,624928
3204,4,4,29,3,2,221039
2197,1,1,5,2,1,675619
3660,4,4,29,7,2,613086
3293,3,1,32,8,0,515004
1395,4,1,6,1,2,168262
1651,3,1,2,6,0,421515
2243,2,2,6,7,1,421175
4227,1,1,4,9,0,151897
1963,4,3,29,3,0,650535
4469,3,4,25,2,0,202157
2581,5,2,9,5,0,677550
1954,1,4,3,1,0,526676
2263,2,1,26,6,2,141085
2129,3,2,27,9,0,187061
2638,2,3,32,9,0,380996
4019,2,1,1,7,0,168293
2096,4,4,16,7,0,324704
3902,4,3,11,8,0,79944
2837,3,1,26,2,0,389857
3896,5,3,1,6,1,306597
2008,3,1,26,5,2,80098
2000,5,2,28,5,0,292454
1906,2,1,9,3,2,611763
3280,1,2,22,3,1,495952
3275,3,1,8,6,1,736776
1572,3,1,27,7,0,438482
2368,5,4,19,1,2,62948
1882,2,3,25,3,0,717880
4030,2,3,21,1,1,263877
1309,5,3,24,3,1,449438
2079,2,1,24,5,2,122976
2034,4,1,19,9,0,204408
1248,1,1,2,3,2,575501
917,3,2,14,9,2,152816
4348,1,2,32,1,1,581908
3896,3,4,32,6,2,386710
4490,4,1,28,9,1,207818
1857,2,3,13,5,0,427800
1283,5,3,12,2,2,415392
1263,4,4,8,5,2,138372
2598,1,3,15,1,0,741071
4498,5,4,26,9,2,726699
4045,2,1,12,9,0,616327
4343,4,3,27,6,1,713312
2231,5,1,18,9,1,303859
2095,4,2,27,3,2,121086
3904,4,3,9,4,1,246179
4363,2,2,1,6,1,263737
1736,3,3,7,4,0,244075
2453,5,1,26,1,1,239861
2120,2,4,7,7,1,509024
3089,4,1,7,5,1,286805
1163,2,1,8,8,0,714484
1891,3,1,16,9,2,665452
4181,5,3,3,5,0,564460
4478,3,4,10,8,2,238164
4057,1,2,7,1,2,539697
4058,5,1,21,1,1,560475
3784,3,3,31,7,1,290395
2236,4,2,23,6,0,580069
4296,5,1,27,5,0,501624
3599,5,2,22,5,0,125124
3752,2,1,27,9,1,357753
1298,4,2,4,1,2,298242
2760,1,2,24,8,0,503376
601,3,4,23,2,2,220024
1241,2,4,19,7,1,648691
2867,3,1,3,6,1,532320
2189,1,3,27,2,1,562550
1454,1,4,3,3,1,137538
2359,5,2,28,4,2,122525
3896,1,4,17,7,2,653536
3032,3,4,31,8,0,189210
4074,4,1,10,2,2,361970
2261,4,4,22,8,2,341472
1753,5,4,30,9,2,143247
1676,3,2,21,7,0,314590
2307,3,4,23,1,2,373556
3377,1,2,12,6,2,667637
2295,3,4,25,8,2,368357
2333,2,4,20,5,1,747039
2039,1,3,7,2,2,548340
2894,2,4,29,5,0,570866
1435,5,2,29,8,0,144388
4110,4,2,13,2,0,435102
802,5,1,3,1,0,90907
3855,4,1,2,4,1,155707
722,5,3,16,4,0,451329
1000,3,2,30,9,1,576224
1366,2,2,6,3,1,534200
893,4,2,7,4,1,719326
2927,1,3,5,3,0,167412
3531,2,2,7,2,0,245505
4281,1,1,34,4,1,736761
797,2,3,32,8,1,212611
3629,2,1,13,1,0,123534
2530,5,1,30,8,2,277065
4182,4,3,25,8,2,96555
3399,4,4,21,3,2,560651
2791,2,4,21,6,0,681203
1208,3,1,28,4,0,332614
3872,3,4,20,1,1,265801
1747,1,2,34,1,0,375068
786,1,3,5,5,0,291588
3997,5,1,18,8,0,446651
3111,2,2,11,1,1,540829
4020,1,4,17,2,1,227831
2394,1,2,22,7,2,570091
1259,2,4,20,8,2,336879
3411,5,1,6,3,0,631299
3602,1,2,34,8,0,358815
2555,5,3,14,1,1,445052
3050,4,1,23,9,2,563771
1969,5,2,20,2,2,479052
2586,3,2,13,2,2,424118
2134,3,4,32,4,0,188338
746,5,1,26,3,0,278510
3819,3,1,14,4,0,645142
3511,4,1,8,6,1,96091
2334,2,1,22,7,2,198192
2443,3,4,22,5,1,67859
1088,3,3,16,2,2,289475
3576,5,1,27,3,0,236549
2559,4,4,10,3,1,197858
2263,2,3,25,5,1,681014
3198,5,3,31,5,0,653533
2985,5,4,21,4,2,537906
3519,4,1,27,8,2,700006
1240,2,3,17,6,2,648194
2402,4,1,33,6,2,129745
3120,2,1,31,1,0,148915
2569,4,2,26,6,0,471219
2798,5,1,21,3,0,299464
2038,5,2,1,6,0,151087
3969,1,3,4,6,1,582853
2234,3,4,4,2,1,593995
862,4,2,26,1,1,739739
2387,1,4,4,3,0,110277
2791,3,3,9,5,2,140748
2993,4,1,30,4,1,139859
1223,2,3,4,7,1,420614
1616,3,4,5,4,0,383723
4243,5,3,23,8,2,132884
1480,1,1,16,7,2,314557
2649,3,3,22,9,2,653167
3544,3,1,8,1,0,176506
1927,5,2,33,5,2,626403
2901,4,4,16,4,1,384167
4323,2,1,5,6,1,544143
1052,5,1,16,1,1,672231
3708,2,3,7,6,0,513200
1783,4,2,1,1,2,431373
3662,3,1,9,1,0,493963
2656,2,2,18,8,2,736915
3904,1,2,3,2,0,479839
3770,1,3,24,6,1,556929
2282,5,1,28,6,0,312140
3463,4,3,10,6,0,284535
2855,5,4,9,8,0,454283
1754,5,4,13,4,1,601553
1003,5,1,23,3,0,132445
2799,1,2,17,6,0,736776
2701,1,1,7,4,1,574406
3791,5,1,16,2,2,419045
2296,1,4,20,6,0,243863
1227,4,4,24,5,1,217197
1186,5,2,5,9,0,363204
2248,1,2,6,6,1,615699
2043,2,1,28,3,2,112684
2045,5,3,5,5,2,746962
703,5,1,2,8,0,568311
853,4,2,21,9,1,132740
3898,3,3,18,8,2,603187
3783,3,4,12,3,2,553259
3157,4,2,17,9,1,260660
2096,4,2,15,3,0,642140
698,4,3,7,8,2,727373
2800,3,2,14,9,2,714608
2484,4,2,1,7,2,425168
3561,1,2,3,4,0,584966
2519,5,2,31,9,2,577379
1477,5,2,13,3,1,745712
937,2,2,18,3,0,724458
4377,2,2,17,2,2,723819
3469,5,2,17,3,1,361038
3834,1,4,11,1,1,546431
4391,3,2,20,4,0,420346
1556,3,4,10,8,1,400907
2304,1,4,29,5,0,130442
760,3,1,34,2,0,67898
2203,4,1,17,3,0,372496
3448,5,4,13,1,1,369351
997,5,4,27,2,0,573259
1900,1,2,26,1,0,394024
1415,3,1,28,2,1,442762
2127,2,3,13,3,0,429538
2519,2,1,12,1,2,218438
2015,3,4,28,9,1,434526
1758,2,4,2,5,1,726196
1818,1,2,34,8,1,601730
1000,1,2,23,5,2,378580
1239,3,1,29,8,0,306447
3704,2,2,11,7,1,573481
3335,1,3,33,4,1,573494
1059,1,3,11,7,1,188934
1554,4,2,9,6,2,494136
1069,4,3,14,3,2,181751
4046,1,3,9,9,2,560499
1645,3,1,3,9,0,596974
3397,5,3,29,5,0,627892
2293,5,4,19,8,2,101163
2685,1,4,32,7,0,586779
2877,1,1,7,9,2,119382
4036,1,2,28,7,0,137096
1162,3,1,18,4,0,67011
3085,4,2,5,4,2,540836
2399,1,2,23,8,1,481849
3954,1,2,22,6,1,720222
2674,2,2,26,9,0,315178
825,3,2,12,7,0,236375
3948,1,1,19,7,0,464919
1397,2,2,1,4,0,183793
4280,5,3,3,3,0,430059
2931,1,3,27,8,0,75096
3526,1,2,18,7,2,388035
1559,2,3,30,4,1,178160
2104,3,4,2,4,1,592720
1052,1,1,5,1,2,468916
3667,5,1,29,7,2,709078
1415,1,2,33,1,1,578372
1258,5,2,20,4,1,379006
4187,4,4,30,3,0,157186
1146,4,2,5,3,1,368762
1815,5,3,21,1,0,142774
3720,3,4,15,4,0,643946
4183,1,3,20,1,1,677600
616,1,1,8,8,0,443195
3843,4,3,31,1,0,188081
1843,5,1,12,6,2,206451
2805,1,3,21,7,1,638886
3124,1,1,30,2,2,364164
1669,3,2,27,4,0,592861
4044,2,3,26,3,0,475631
3165,4,1,33,9,2,373772
2746,4,3,26,7,2,112287
2368,2,4,26,2,2,435982
1660,1,2,1,6,0,562550
2927,3,1,15,9,1,323088
4020,3,4,1,3,0,459056
3144,4,3,11,6,2,506330
901,3,4,2,3,1,361586
780,2,3,1,3,2,318153
1206,1,2,31,4,0,234561
3770,2,4,16,9,1,366422
1299,5,2,22,8,1,342278
1592,4,1,18,1,0,394858
1739,3,3,17,1,2,523920
790,5,3,30,7,2,748014
2900,3,2,10,3,2,261599
1580,1,2,21,7,0,330290
3575,1,1,16,9,2,172188
2606,1,4,6,3,1,524042
1784,3,3,3,3,2,572142
3927,5,3,21,2,2,533596
3994,1,1,13,1,1,583464
727,5,1,18,9,1,428599
2665,3,2,24,6,2,248603
2416,5,2,27,6,1,668068
2358,3,4,4,8,0,199006
3213,3,1,22,5,1,417525
1169,4,4,24,9,0,291948
1946,3,1,10,5,1,239121
2495,3,3,2,2,0,428499
3333,2,1,6,6,0,508496
4463,1,1,18,9,2,155597
1225,4,3,17,3,1,506620
3959,4,1,23,4,1,62127
3501,4,4,30,8,1,266691
2286,2,2,21,6,0,734451
3609,3,2,10,7,2,447697
4310,1,4,13,7,1,338021
754,5,3,12,4,2,526568
3137,3,1,9,6,2,592639
2009,2,4,4,9,0,445367
1384,3,2,24,3,1,468864
3775,3,2,34,8,2,379692
4064,2,4,5,7,1,169538
4482,4,2,15,4,1,415141
845,4,4,4,3,1,560016
3847,1,2,8,7,2,253895
3710,1,4,24,9,0,447741
2100,4,1,28,3,0,301509
2305,5,1,27,9,2,492233
3406,3,1,1,8,1,99253
1137,5,1,34,3,1,291181
2490,3,2,17,8,0,146967
2441,4,3,26,4,2,212996
1520,1,4,24,6,2,619152
3055,1,3,21,2,0,334637
1124,5,2,30,8,2,65337
3475,1,2,13,9,2,123281
2129,4,3,3,7,0,600323
3550,5,3,32,8,0,410998
4496,3,2,19,7,2,298913
635,1,2,14,4,2,297798
1284,2,4,22,1,0,260390
619,1,1,17,3,0,342028
2968,3,1,4,7,1,69074
4447,5,4,19,7,2,86907
3159,3,3,2,3,2,278597
999,2,2,15,1,0,426867
3301,4,3,2,9,0,592912
1571,1,1,11,6,1,315160
2506,5,1,23,7,1,526641
3118,4,3,10,1,0,201527
1766,3,1,3,1,2,303808
1715,5,2,5,4,1,202266
4025,4,4,3,7,0,545740
1433,5,3,13,8,0,133106
2423,2,2,19,9,0,81487
3374,2,2,24,1,2,60617
2582,1,1,24,4,0,170988
1453,1,2,17,4,0,447529
650,2,3,10,3,2,166813
4336,5,2,2,7,0,697309
4369,2,4,23,1,0,721645
1174,1,2,6,9,1,617512
3861,2,2,2,8,0,88994
1748,2,4,21,2,2,384583
2797,5,2,29,2,1,686466
2961,4,2,7,8,0,392653
3217,1,1,29,1,2,654598
4013,5,3,23,7,0,500333
2952,2,1,33,9,1,306763
2315,2,3,8,3,2,574752
1281,4,4,12,7,1,372362
1437,1,4,10,6,2,321312
4454,1,4,15,7,2,364732
1677,3,3,24,7,0,73302
3650,1,3,26,1,2,508976
3091,4,3,3,3,2,587522
3260,3,4,2,1,0,721854
3640,3,3,6,5,2,250697
2911,2,2,21,3,2,431878
3724,2,1,9,1,2,655091
2195,1,4,10,2,2,508539
3651,3,1,3,5,0,203618
4291,2,2,24,3,0,739839
604,4,3,22,6,1,620725
1726,2,1,14,9,2,725017
1819,2,2,27,6,0,672277
1373,3,2,33,2,2,160265
1476,3,1,22,2,0,339403
1591,5,4,29,8,1,265342
3531,4,1,19,8,2,282202
4021,3,4,19,6,1,86004
646,1,3,6,7,1,535710
3514,4,4,19,1,1,339986
3470,4,3,13,9,0,544827
3583,3,1,26,5,2,620483
4491,4,3,22,9,0,188138
3303,3,2,21,2,0,67736
868,2,3,2,8,2,632546
969,5,4,30,7,2,418948
1235,2,4,27,4,2,628799
1729,3,4,7,3,2,326350
2293,3,3,20,4,0,79348
2282,2,4,31,4,2,116057
1256,1,4,23,8,2,435503
719,1,2,13,4,2,177615
1430,1,3,17,5,1,560393
2410,3,2,4,2,2,478070
4275,4,4,14,4,2,340176
1681,3,4,20,7,0,376823
2574,4,4,13,3,1,220344
1969,2,3,3,1,0,429798
1340,5,1,26,8,1,698457
4145,4,4,26,8,0,357253
716,1,4,18,6,0,110670
2453,3,4,32,7,2,553358
3438,2,4,14,2,2,372166
1750,1,3,3,5,1,458754
4064,2,1,1,7,1,628525
2531,5,1,26,9,1,724893
1612,3,1,24,1,2,268872
2264,3,4,14,3,0,106304
1681,5,4,3,6,1,306888
1233,3,1,13,7,2,596107
1112,4,1,14,6,2,596479
4422,2,4,21,1,0,66499
3449,1,4,26,4,0,647289
1719,5,2,3,6,2,694671
4309,4,2,4,8,0,601956
1741,1,2,1,4,0,724122
1159,1,1,33,7,2,734608
4272,5,3,7,3,1,267941
1087,4,4,11,8,1,438809
3908,1,2,27,1,2,321566
1496,1,3,14,4,1,691230
3943,4,4,22,8,2,73070
1812,3,3,16,4,2,675680
1303,1,1,12,2,0,157164
2070,2,1,10,2,1,501249
1180,4,1,24,4,2,478428
3437,1,2,18,4,1,685565
3508,5,4,22,2,1,64626
2894,2,1,9,7,1,109270
3747,1,2,17,6,2,62292
753,2,2,13,3,0,438936
2279,2,2,6,8,1,483801
4106,3,2,21,8,2,457035
1596,2,1,7,1,1,695274
3757,3,2,25,3,0,585568
3344,4,1,11,5,1,516696
3956,3,1,14,2,2,531993
1843,5,2,29,5,1,205219
1692,1,1,10,3,1,306522
3718,4,4,5,9,1,557019
1608,4,4,8,1,0,390694
2741,5,3,5,4,1,201845
2373,3,4,24,6,2,733241
1557,1,1,26,9,1,723640
3659,3,1,6,3,1,119593
1052,2,4,16,3,1,216627
1827,3,2,12,5,0,363565
3559,4,2,11,7,2,669760
2865,1,1,3,5,1,218404
3121,3,2,6,8,2,366732
3079,1,3,19,5,2,150491
2988,1,3,18,7,0,146416
1150,2,4,16,6,2,368302
2235,2,4,23,2,1,638086
1912,4,2,9,3,0,731515
3925,5,1,3,4,0,378100
2357,1,4,8,5,2,128486
956,5,3,4,9,0,244764
2670,4,4,12,6,2,149338
2385,1,4,31,1,2,721423
3169,1,3,25,3,0,401885
2381,5,1,16,7,1,628978
3771,3,4,14,8,2,741867
3449,2,4,13,7,0,67661
3851,3,4,7,5,0,227261
3894,5,2,12,8,2,291366
3409,2,4,4,9,2,204129
4330,3,3,2,7,2,276848
3089,2,1,3,9,2,421930
2231,1,1,4,1,1,359132
3416,3,3,12,9,1,203563
1615,2,2,19,3,1,382303
1948,2,3,10,6,1,401012
1115,2,1,1,8,0,253101
3687,3,3,17,3,2,618642
3439,4,2,16,4,0,406473
935,3,1,9,7,0,66504
2382,5,2,9,7,1,416105
2905,3,3,9,4,0,558448
1096,2,4,12,9,1,687179
1495,1,3,15,3,2,314936
2807,3,2,2,8,1,152732
4146,3,3,11,8,2,210362
1451,2,4,11,4,1,561706
2287,1,2,8,7,0,556576
2531,1,3,32,4,0,295358
3337,5,2,6,1,1,197213
4346,3,2,20,1,2,387124
3027,1,1,8,1,2,716431
2168,1,1,34,2,1,208192
1556,4,2,19,6,0,151477
3338,4,3,7,5,2,295752
4098,1,3,31,2,1,739493
2236,5,3,18,8,2,697934
1891,1,4,14,9,0,245935
4248,2,2,17,7,2,342098
2040,3,2,9,9,1,445468
1791,5,4,20,4,2,402355
1666,2,2,28,7,2,716979
4227,5,2,20,5,0,258812
884,2,4,27,5,0,661518
3044,3,1,8,3,0,694410
611,3,2,32,9,0,231414
2230,4,4,1,5,1,462589
3973,2,3,17,6,2,333592
3924,4,1,9,3,2,222282
3146,2,3,20,7,2,478626
1353,4,2,32,9,2,256119
2682,3,1,2,9,1,315984
3374,5,4,32,5,0,259372
3496,4,2,9,7,2,255807
689,2,4,30,3,2,333611
1375,2,1,20,6,0,199271
3252,3,3,1,8,0,87095
3617,2,2,5,8,2,693003
2225,1,2,1,2,0,289071
3669,5,4,14,6,2,361151
1017,4,1,9,7,2,178562
714,5,4,30,7,2,612592
1216,3,1,24,3,2,156729
3867,4,2,4,9,2,246293
1425,4,1,14,2,2,131120
4172,1,2,25,3,0,658629
2249,3,1,4,2,1,134625
2116,2,3,25,9,1,215757
3746,1,1,10,4,2,580901
1012,1,3,7,2,0,649704
4047,5,1,13,3,2,173792
4091,5,1,4,4,0,120356
1328,5,4,14,6,2,333254
3948,1,4,18,5,2,683752
3668,2,2,8,3,1,301549
3408,4,4,32,8,0,736488
1275,5,1,27,8,0,689923
4065,2,4,23,7,1,598972
2492,3,1,7,3,1,504371
3104,5,3,12,1,1,173102
3567,4,1,25,5,1,716887
2839,3,2,3,1,0,476918
3386,3,3,26,6,0,430553
4360,4,2,4,7,1,612045
1722,5,2,15,5,2,269693
2171,1,2,32,4,2,382351
1577,4,4,29,2,2,605282
1608,4,2,10,5,2,549697
2743,4,3,21,9,0,705697
2287,3,1,16,4,0,314457
3310,2,2,19,2,0,146170
3861,1,3,29,6,2,168502
4407,5,2,18,8,1,90569
636,5,1,16,2,2,170702
4451,2,3,1,9,0,328770
4040,4,3,2,7,2,685447
4366,1,1,15,2,1,588252
2148,5,3,28,5,1,313695
2926,5,1,1,5,2,434938
2864,4,3,5,7,0,340202
3514,2,3,22,5,0,282374
1472,1,1,13,6,0,302706
2421,2,1,1,9,2,226232
1896,2,3,16,3,0,207334
2709,1,3,22,3,2,427326
1195,1,1,32,8,0,553441
2503,5,4,16,6,1,726244
1328,5,1,15,3,1,64433
1965,1,3,12,2,0,405891
996,3,3,1,2,2,398371
1298,5,3,17,2,0,674484
3690,3,1,28,5,2,352228
2824,1,3,7,5,1,698743
2235,5,4,9,1,2,346946
995,2,2,22,2,0,298875
3092,1,4,26,2,1,641300
3904,4,1,12,4,2,698898
675,3,3,7,7,2,473830
864,1,1,15,3,1,523785
3102,1,2,21,5,0,392066
2419,5,1,14,9,1,268758
1317,5,3,2,5,0,68157
3382,5,2,8,9,0,633030
4055,4,2,6,1,2,287016
4235,5,3,33,9,0,591963
1450,1,3,6,5,0,348372
4177,5,3,26,8,1,83349
1990,2,1,14,5,1,189417
743,5,4,8,6,0,371322
1484,4,1,13,8,2,265732
3740,2,1,13,2,1,197660
3770,1,4,28,3,2,680767
995,1,3,18,9,1,713332
3696,3,3,19,5,1,147687
3595,2,4,32,5,0,712613
3538,3,4,22,9,1,123196
2092,2,1,2,3,1,568370
4155,2,2,13,4,2,92400
4236,4,4,23,7,1,575593
3822,3,1,25,2,1,335680
1767,4,2,28,8,2,455916
3216,2,3,11,5,0,668895
1662,1,3,33,1,0,622388
2756,2,1,24,3,1,279798
4364,4,1,2,9,1,474656
1665,3,4,30,5,2,282688
1809,3,3,17,8,0,563679
3582,4,1,34,1,0,617235
3045,3,3,22,7,0,395676
3894,5,3,5,7,2,300153
1233,1,4,16,8,2,402542
1756,1,2,13,3,2,119413
3834,1,4,26,1,1,294840
1838,3,1,31,9,0,476320
1332,3,4,23,1,1,318810
834,2,4,12,6,1,404985
3305,2,3,14,9,2,620148
1350,1,4,18,2,0,524279
3235,5,1,27,4,1,446534
3680,2,2,28,2,0,563311
3745,2,4,18,4,1,598015
1553,3,4,16,2,2,286575
3139,5,2,16,1,1,579372
3560,1,1,13,3,2,567432
3924,2,1,29,8,0,435915
3901,5,4,9,5,1,728284
2142,5,3,26,4,1,305911
1797,1,4,28,5,2,674412
2276,5,2,13,6,2,675114
1791,5,2,9,6,0,644782
2817,5,2,14,5,2,314200
2016,2,4,12,6,0,490518
3593,1,4,32,9,1,710511
3442,5,1,3,5,0,290096
3281,5,3,16,6,0,440061
1817,2,4,20,4,0,519758
2140,1,1,32,3,1,441560
2676,3,4,23,6,1,218116
3836,2,1,17,5,2,301687
2045,1,1,16,4,0,702789
2986,5,3,8,5,1,60537
4319,1,4,19,7,0,698521
2119,1,1,30,1,0,136552
1988,1,2,34,1,0,357597
2456,3,2,14,1,1,61980
1965,1,2,22,2,0,224379
1099,3,3,17,9,0,148966
2280,5,1,15,5,2,743989
1110,3,3,32,9,0,480991
3998,5,4,13,5,2,493245
816,5,4,21,7,0,680222
1924,3,1,33,6,2,314435
1755,2,2,27,2,1,101988
2427,4,1,16,3,1,508668
3741,1,1,28,5,0,715411
3923,4,1,34,4,2,454902
4086,1,3,1,6,1,313880
2410,1,4,31,8,0,461312
3092,5,1,33,8,0,168336
3523,1,1,33,3,2,445718
1805,1,1,18,4,2,438521
2814,3,3,23,1,0,345811
690,4,3,23,2,2,654399
1313,3,3,15,9,2,583931
2481,1,1,26,2,1,670780
4202,5,2,30,6,2,711288
638,3,2,25,7,0,136206
3797,3,2,16,6,2,730997
4122,2,4,14,8,0,535098
772,1,1,17,9,0,676764
1252,5,2,12,8,2,158941
1353,3,2,29,5,2,362891
1843,3,2,32,8,2,381893
4309,5,1,24,9,1,183569
1681,1,2,13,8,1,540686
2283,2,2,20,2,2,742542
3123,3,1,15,2,0,68903
1055,2,4,4,3,2,379926
1428,4,3,34,7,1,137261
1494,1,2,28,9,1,141604
1984,4,3,2,8,2,655374
